matter_id,file_no,portal_http,file_match,title_match,type_match,status_match,intro_match,site_page,note
9958,193244,200,exact,exact,exact,exact,exact,yes,
14480,197758,200,exact,exact,exact,exact,exact,yes,
18157,201459,200,exact,exact,exact,exact,exact,yes,
11462,194761,200,exact,exact,exact,exact,exact,yes,
14291,197489,200,exact,exact,exact,exact,exact,yes,
3568,23-0993,200,exact,exact,exact,exact,exact,yes,
30159,213482,200,exact,exact,exact,exact,exact,yes,
34640,26-1036,200,exact,exact,exact,exact,exact,yes,
27755,211034,200,exact,exact,exact,exact,exact,yes,
28683,211946,200,exact,exact,exact,exact,exact,yes,
21212,204483,200,exact,exact,exact,exact,exact,yes,
32376,25-0777,200,exact,exact,exact,exact,exact,yes,
21184,204468,200,exact,exact,exact,exact,exact,yes,
21838,205104,200,exact,exact,exact,exact,exact,yes,
4184,23-1548,200,exact,exact,exact,exact,exact,yes,
8930,192223,200,exact,exact,exact,exact,exact,yes,
16432,199783,200,exact,exact,exact,exact,exact,yes,
28622,211896,200,exact,exact,exact,exact,exact,yes,
18663,201941,200,exact,exact,exact,exact,exact,yes,
31035,24-1305,200,exact,exact,exact,exact,exact,yes,
7769,191116,200,exact,exact,exact,exact,exact,yes,
9782,193124,200,exact,exact,exact,exact,exact,yes,
12300,195592,200,exact,exact,exact,exact,exact,yes,
2759,23-0273,200,exact,exact,exact,exact,exact,yes,
21967,205249,200,exact,exact,exact,exact,exact,yes,
20447,203715,200,exact,exact,exact,exact,exact,yes,
4861,24-0275,200,exact,exact,exact,exact,exact,yes,
32542,25-0938,200,exact,exact,exact,exact,exact,yes,
15808,199085,200,exact,exact,exact,exact,exact,yes,
33164,25-1523,200,exact,exact,exact,exact,exact,yes,
32979,25-1348,200,exact,exact,exact,exact,exact,yes,
16924,200337,200,exact,exact,exact,exact,exact,yes,
19982,203262,200,exact,exact,exact,exact,exact,yes,
10278,193570,200,exact,exact,exact,exact,exact,yes,
3525,23-0958,200,exact,exact,exact,exact,exact,yes,
27418,210704,200,exact,exact,exact,exact,exact,yes,
25225,208480,200,exact,exact,exact,exact,exact,yes,
11067,194352,200,exact,exact,exact,exact,exact,yes,
34728,26-1118,200,exact,exact,exact,exact,exact,yes,
18440,201708,200,exact,exact,exact,exact,exact,yes,
19184,202472,200,exact,exact,exact,exact,exact,yes,
16484,199659,200,exact,exact,exact,exact,exact,yes,
11728,195009,200,exact,exact,exact,exact,exact,yes,
33556,26-0022,200,exact,exact,exact,exact,exact,yes,
34795,26-1179,200,exact,exact,exact,exact,exact,yes,
14350,197629,200,exact,exact,exact,exact,exact,yes,
15876,199111,200,exact,exact,exact,exact,exact,yes,
19276,202560,200,exact,exact,exact,exact,exact,yes,
13117,196402,200,exact,exact,exact,exact,exact,yes,
21672,204955,200,exact,exact,exact,exact,exact,yes,
17239,200545,200,exact,exact,exact,exact,exact,yes,
23766,207052,200,exact,exact,exact,exact,exact,yes,
25500,208736,200,exact,exact,exact,exact,exact,yes,
26170,209521,200,exact,exact,exact,exact,exact,yes,
13616,196890,200,exact,exact,exact,exact,exact,yes,
30873,24-1151,200,exact,exact,exact,exact,exact,yes,
14240,197560,200,exact,exact,exact,exact,exact,yes,
9906,193196,200,exact,exact,exact,exact,exact,yes,
8973,192273,200,exact,exact,exact,exact,exact,yes,
30228,213627,200,exact,exact,exact,exact,exact,yes,
13331,196653,200,exact,exact,exact,exact,exact,yes,
5459,24-0848,200,exact,exact,exact,exact,exact,yes,
20840,204120,200,exact,exact,exact,exact,exact,yes,
29246,212538,200,exact,exact,exact,exact,exact,yes,
25838,209096,200,exact,exact,exact,exact,exact,yes,
27659,210929,200,exact,exact,exact,exact,exact,yes,
11711,195028,200,exact,exact,exact,exact,exact,yes,
16370,199741,200,exact,exact,exact,exact,exact,yes,
21852,205069,200,exact,exact,exact,exact,exact,yes,
15015,198299,200,exact,exact,exact,exact,exact,yes,
28911,212171,200,exact,exact,exact,exact,exact,yes,
18856,202135,200,exact,exact,exact,exact,exact,yes,
20512,203789,200,exact,exact,exact,exact,exact,yes,
22878,206134,200,exact,exact,exact,exact,exact,yes,
29598,212816,200,exact,exact,exact,exact,exact,yes,
12149,195450,200,exact,exact,exact,exact,exact,yes,
5680,189037,200,exact,exact,exact,exact,exact,yes,
26799,210104,200,exact,exact,exact,exact,exact,yes,
26223,209507,200,exact,exact,exact,exact,exact,yes,
9167,192440,200,exact,exact,exact,exact,exact,yes,
2992,23-0471,200,exact,exact,exact,exact,exact,yes,
16382,199737,200,exact,exact,exact,exact,exact,yes,
22285,205650,200,exact,exact,exact,exact,exact,yes,
12641,195925,200,exact,exact,exact,exact,exact,yes,
31604,25-0053,200,exact,exact,exact,exact,exact,yes,
34436,26-0845,200,exact,exact,exact,exact,exact,yes,
8243,191473,200,exact,exact,exact,exact,exact,yes,
20707,204075,200,exact,exact,exact,exact,exact,yes,
13233,196501,200,exact,exact,exact,exact,exact,yes,
22681,205999,200,exact,exact,exact,exact,exact,yes,
32133,25-0538,200,exact,exact,exact,exact,exact,yes,
24028,207269,200,exact,exact,exact,exact,exact,yes,
4246,23-1597,200,exact,exact,exact,exact,exact,yes,
29491,212900,200,exact,exact,exact,exact,exact,yes,
22300,205469,200,exact,exact,exact,exact,exact,yes,
29750,213029,200,exact,exact,exact,exact,exact,yes,
27479,210733,200,exact,exact,exact,exact,exact,yes,
15983,199255,200,exact,exact,exact,exact,exact,yes,
24075,207388,200,exact,exact,exact,exact,exact,yes,
9897,193188,200,exact,exact,exact,exact,exact,yes,
19782,203090,200,exact,exact,exact,exact,exact,yes,
13033,196312,200,exact,exact,exact,exact,exact,yes,
6913,190207,200,exact,exact,exact,exact,exact,yes,
23533,206814,200,exact,exact,exact,exact,exact,yes,
23026,206306,200,exact,exact,exact,exact,exact,yes,
29660,213004,200,exact,exact,exact,exact,exact,yes,
23621,206899,200,exact,exact,exact,exact,exact,yes,
6006,189246,200,exact,exact,exact,exact,exact,yes,
8684,191976,200,exact,exact,exact,exact,exact,yes,
18327,201596,200,exact,exact,exact,exact,exact,yes,
31923,25-0340,200,exact,exact,exact,exact,exact,yes,
21671,204956,200,exact,exact,exact,exact,exact,yes,
12273,195555,200,exact,exact,exact,exact,exact,yes,
30482,213871,200,exact,exact,exact,exact,exact,yes,
33585,26-0051,200,exact,exact,exact,MISMATCH,exact,yes,status: ours '' vs ''; 
31731,25-0172,200,exact,exact,exact,exact,exact,yes,
30805,24-1084,200,exact,exact,exact,exact,exact,yes,
19257,202521,200,exact,exact,exact,exact,exact,yes,
3464,23-0909,200,exact,exact,exact,exact,exact,yes,
12831,196127,200,exact,exact,exact,exact,exact,yes,
27227,210480,200,exact,exact,exact,exact,exact,yes,
19875,203175,200,exact,exact,exact,exact,exact,yes,
33748,26-0192,200,exact,exact,exact,exact,exact,yes,
20119,203425,200,exact,exact,exact,exact,exact,yes,
13655,196936,200,exact,exact,exact,exact,exact,yes,
20333,203604,200,exact,exact,exact,exact,exact,yes,
34253,26-0673,200,exact,exact,exact,exact,exact,yes,
27974,211271,200,exact,exact,exact,exact,exact,yes,
13285,196485,200,exact,exact,exact,exact,exact,yes,
13020,196302,200,exact,exact,exact,exact,exact,yes,
2181,22-1893,200,exact,exact,exact,exact,exact,yes,
5854,188979,200,exact,exact,exact,exact,exact,yes,
34579,26-0977,200,exact,exact,exact,exact,exact,yes,
6398,189681,200,exact,exact,exact,exact,exact,yes,
17765,201044,200,exact,exact,exact,exact,exact,yes,
9251,192547,200,exact,exact,exact,exact,exact,yes,
16245,199538,200,exact,exact,exact,exact,exact,yes,
26227,209511,200,exact,exact,exact,exact,exact,yes,
27677,210954,200,exact,exact,exact,exact,exact,yes,
16997,200391,200,exact,exact,exact,exact,exact,yes,
8610,191920,200,exact,exact,exact,exact,exact,yes,
31600,25-0049,200,exact,exact,exact,exact,exact,yes,
9041,192341,200,exact,exact,exact,exact,exact,yes,
11300,194639,200,exact,exact,exact,exact,exact,yes,
26392,209720,200,exact,exact,exact,exact,exact,yes,
18909,202175,200,exact,exact,exact,exact,exact,yes,
13200,196561,200,exact,exact,exact,exact,exact,yes,
12421,195694,200,exact,exact,exact,exact,exact,yes,
21298,204576,200,exact,exact,exact,exact,exact,yes,
1459,22-1322,200,exact,exact,exact,exact,exact,yes,
34754,26-1140,200,exact,exact,exact,exact,exact,yes,
10653,193945,200,exact,exact,exact,exact,exact,yes,
28084,211333,200,exact,exact,exact,exact,exact,yes,
23251,206553,200,exact,exact,exact,exact,exact,yes,
16003,199334,200,exact,exact,exact,exact,exact,yes,
18975,202286,200,exact,exact,exact,exact,exact,yes,
29745,213039,200,exact,exact,exact,exact,exact,yes,
26014,209327,200,exact,exact,exact,exact,exact,yes,
27608,210889,200,exact,exact,exact,exact,exact,yes,
8035,191342,200,exact,exact,exact,exact,exact,yes,
24595,207878,200,exact,exact,exact,exact,exact,yes,
11298,194551,200,exact,exact,exact,exact,exact,yes,
17135,200456,200,exact,exact,exact,exact,exact,yes,
23080,206362,200,exact,exact,exact,exact,exact,yes,
1384,22-0065,200,exact,exact,exact,exact,exact,yes,
14217,197581,200,exact,exact,exact,exact,exact,yes,
23932,207161,200,exact,exact,exact,exact,exact,yes,
8056,191353,200,exact,exact,exact,exact,exact,yes,
15024,198307,200,exact,exact,exact,exact,exact,yes,
4761,24-0185,200,exact,exact,exact,exact,exact,yes,
24001,207341,200,exact,exact,exact,exact,exact,yes,
12631,195920,200,exact,exact,exact,exact,exact,yes,
18734,202020,200,exact,exact,exact,exact,exact,yes,
6917,190211,200,exact,exact,exact,exact,exact,yes,
18794,202057,200,exact,exact,exact,exact,exact,yes,
30739,24-1027,200,exact,exact,exact,exact,exact,yes,
28887,212126,200,exact,exact,exact,exact,exact,yes,
